Software                            Resource Provider        
lerc                                aces, faster             
leveldb                             aces                     
lhsmdu                              faster                   
libaec                              aces, faster             
libaio                              kyric, faster, delta     
libarchive                          aces, faster             
libatomic_ops                       aces, faster             
libbeagle                           expanse                  
libbsd                              kyric, delta             
libcap                              ookami                   
libcdms                             faster                   
libcerf                             aces, faster             
libcifpp                            faster                   
libdap                              aces, faster             
libdeflate                          aces, faster             
libdrm                              aces, faster             
libdrs                              faster                   
libedit                             kyric                    
libepoxy                            aces, faster             
libev                               aces, faster             
libevent                            kyric, aces, faster      
libfabric                           anvil, darwin, kyric, aces, faster, delta, ookami
libffi                              kyric, aces, faster, delta, ookami
libflame                            anvil, faster            
libgcrypt                           aces, faster             
libgd                               aces, faster, ookami     
libgeotiff                          aces, faster             
libgit2                             aces, faster             
libglu                              aces, faster             
libglvnd                            aces, faster             
libgpg-error                        kyric, aces, faster      
libgpuarray                         aces, faster             
libharu                             faster                   
libice                              delta                    
libiconv                            anvil, kyric, aces, faster, expanse
libidn                              aces, faster             
libidn2                             kyric, aces, faster      
libint                              aces, faster             
libjpeg                             delta                    
libjpeg-turbo                       aces, faster, expanse    
libmatheval                         faster, expanse          
libmd                               delta                    
libmesh                             anvil                    
libnotify                           ookami                   
libnsl                              faster, delta            
libogg                              aces, faster             
libopus                             aces, faster             
libpciaccess                        kyric, aces, faster, expanse
libpng                              anvil, aces, faster, expanse, ookami
libpsl                              aces, faster             
libreadline                         aces, faster             
librom                              aces, faster             
librs                               darwin                   
librsvg                             aces, faster             
librttopo                           aces, faster             
libseccomp                          kyric                    
libsigsegv                          kyric, faster            
libsm                               delta                    
libsndfile                          aces, faster, delta      
libsodium                           aces, faster             
libsoup                             aces, faster             
libspatialindex                     aces, faster             
libspatialite                       aces, faster             
libssh                              faster                   
libszip                             anvil                    
libtasn1                            aces, faster             
libtiff                             anvil, aces, faster      
libtirpc                            aces, faster, delta, expanse
libtool                             kyric, aces, faster      
libunistring                        kyric, aces, faster, expanse
libunwind                           aces, faster, expanse, ookami
libv8                               anvil                    
libvorbis                           aces, faster             
libvori                             aces, faster             
libwebp                             aces, faster             
libwnck                             faster                   
libwpe                              aces, faster             
libx11                              anvil, delta             
libxau                              delta                    
libxc                               aces, faster, expanse, ookami
libxcb                              delta                    
libxdmcp                            delta                    
libxfce4ui                          faster                   
libxfce4util                        faster                   
libxml2                             anvil, kyric, aces, faster
libxscrnsaver                       anvil                    
libxslt                             anvil, aces, faster      
libxsmm                             aces, faster             
libxt                               delta                    
libyaml                             aces, faster             
libzip                              aces, faster             
lifelines                           aces                     
liftoff                             anvil                    
liftofftools                        anvil                    
likwid                              kyric, faster, ookami    
lima                                anvil                    
linaro                              ookami                   
links                               anvil                    
linux                               ookami                   
lis                                 faster                   
littlecms                           aces, faster             
lldb                                ookami                   
llvm                                darwin, aces, faster, delta, ookami
lmdb                                aces, faster             
lmod                                bridges2, bridges2, aces, faster, delta, delta, stampede3
local                               ookami                   
lofreq                              anvil                    
longphase                           anvil                    
longqc                              anvil                    
loopy                               faster                   
lowcharts                           bridges2                 
lra                                 anvil                    
lsd2                                faster                   
ltr_finder                          anvil                    
ltrpred                             anvil                    
ltrpred(ict)                        anvil                    
lua                                 aces, faster, expanse, ookami
lumpy                               faster                   
lumpy-sv                            anvil                    
lustre                              ookami                   
lvm2                                kyric                    
lxml                                aces, faster             
lyveset                             anvil                    
lz4                                 aces, faster             
lzip                                darwin                   
lzma                                delta                    
lzo                                 faster                   
m4                                  kyric, aces, faster      
macrel                              anvil                    
macs2                               anvil                    
macs3                               anvil                    
maeparser                           aces, faster             
mafft                               anvil, aces, faster, expanse
mageck                              anvil, faster            
magicblast                          anvil                    
magics                              aces                     
magma                               aces, faster, delta, expanse
mainmast                            faster                   
make                                kyric, aces, faster      
makedepend                          aces, faster             
makeinfo                            aces, faster             
maker                               anvil                    
mako                                aces, faster             
mamba                               aces, faster             
manta                               anvil                    
map                                 stampede3                
mapcaller                           anvil                    
mapdamage2                          anvil                    
marginpolish                        anvil                    
mariadb                             faster                   
mash                                anvil                    
mashmap                             anvil                    
mashtree                            anvil                    
masurca                             anvil, faster            
mathematica                         darwin, faster, stampede3
matio                               aces                     
matlab                              anvil, bridges2, darwin, aces, faster, expanse, ookami, stampede3, jetstream
matlab-engine                       faster                   
matlab_unlicensed                   delta                    
matplotlib                          aces, faster             
maturin                             aces                     
mauve                               anvil, faster            
maven                               aces, faster             
maxbin2                             anvil                    
maxquant                            anvil                    
mbuffer                             faster                   
mc                                  bridges2                 
mccortex                            faster                   
mcl                                 anvil, faster            
mcoutbryk                           faster                   
mcr                                 darwin                   
mcscanx                             anvil                    
mdspan                              stampede3                
mdtest                              delta                    
medaka                              anvil, faster            
meep                                anvil, stampede3         
megadepth                           anvil                    
megahit                             anvil, faster            
megan                               anvil                    
meme                                anvil                    
meme-suite                          bridges2                 
memes                               anvil                    
memoryviewer                        aces                     
mentorgraphics                      bridges2                 
meraculous                          anvil                    
mercurial                           aces, expanse, ookami    
merqury                             anvil                    
meryl                               anvil                    
mesa                                aces, faster             
mesa-glu                            anvil                    
meson                               darwin, aces, faster, expanse
meson-python                        aces, faster             
metabat                             anvil                    
metachip                            anvil                    
metaphlan                           anvil                    
metaseq                             anvil                    
methyldackel                        anvil                    
methylpy                            bridges2                 
metilene                            anvil                    
metis                               aces, faster, delta, expanse, stampede3
mfem                                aces, faster             
mhm2                                anvil                    
microbedmm                          anvil                    
minialign                           anvil, bridges2          
miniasm                             anvil                    
miniconda3                          aces, faster             
minimap2                            anvil, faster            
minipolish                          anvil                    
miniprot                            anvil                    
minizip                             aces, faster             
mirdeep2                            anvil, expanse           
mirtop                              anvil                    
mitofinder                          anvil                    
mkl                                 bridges2, kyric, ookami, stampede3
mkl-service                         faster                   
mkl32                               kyric                    
mkmod                               stampede3                
ml-toolkit-cpu/keras                anvil                    
ml-toolkit-cpu/nltk                 anvil                    
ml-toolkit-cpu/onnx                 anvil                    
ml-toolkit-cpu/opencv               anvil                    
ml-toolkit-cpu/pytorch              anvil                    
ml-toolkit-cpu/tensorflow           anvil                    
mlflow                              bridges2                 
mlnx                                ookami                   
mlst                                anvil                    
mmseqs2                             anvil                    
mob-suite                           anvil                    
mob_suite                           anvil                    
modbam2bed                          anvil                    
modeltest-ng                        anvil                    
modtree                             anvil                    
module                              ookami                   
modulefiles                         ookami                   
modules                             ookami                   
moe                                 faster                   
mold                                aces, faster             
molden                              faster, expanse          
molmod                              faster                   
momi                                anvil                    
monai                               aces                     
monitor                             anvil                    
moose                               faster                   
mothur                              anvil, faster            
motif                               aces                     
motus                               anvil                    
mpc                                 anvil, kyric, aces, faster
mpfr                                anvil, darwin, kyric, aces, faster, expanse, ookami
mpi                                 kyric, ookami            
mpi4py                              aces, faster             
mpich                               kyric, ookami            
mpip                                expanse                  
mpl                                 stampede3                
mrbayes                             anvil, expanse           
mujoco                              faster                   
mujoco-py                           faster                   
multichoose                         faster                   
multiqc                             anvil, faster            
mummer                              faster                   
mummer4                             anvil                    
mumps                               aces, faster, expanse    
muparser                            delta                    
muscle                              anvil, faster            
musl                                aces                     
must                                bridges2                 
mutmap                              anvil                    
mvapich                             delta, stampede3         
mvapich-3.0rc_s11                   delta                    
mvapich2                            anvil, bridges2, kyric, expanse
mvapich2-gdr                        aces                     
mykrobe                             anvil                    
n50                                 anvil                    
namd                                anvil, bridges2, darwin, aces, faster, delta, expanse, ookami, stampede3
namd-multicore-cuda                 aces                     
namd-netlrts-smp-cuda               aces                     
namd-verbs-smp-cuda                 aces                     
namd3                               delta                    
nanofilt                            anvil, faster            
nanolyse                            anvil                    
nanoplot                            anvil, bridges2          
nanopolish                          anvil                    
nasm                                aces, faster             
nbo                                 expanse                  
ncbi-amrfinderplus                  anvil                    
ncbi-datasets                       anvil                    
ncbi-genome-download                anvil                    
ncbi-table2asn                      anvil                    
ncbi-vdb                            aces, faster             
nccl                                aces, faster, delta, expanse
nccl-tests                          faster                   
ncdu                                bridges2, ookami         
ncftp                               delta                    
ncl                                 anvil, aces, expanse     
nco                                 anvil, aces, faster, expanse, stampede3
ncurses                             kyric, aces, faster, delta, expanse, ookami
ncview                              anvil, bridges2, darwin, expanse, stampede3
ndiff                               delta                    
nedit                               aces                     
netcdf                              darwin, aces, faster, ookami, stampede3
netcdf-c                            anvil, delta, expanse    
netcdf-c++4                         aces, faster             
netcdf-combined                     faster                   
netcdf-cxx                          expanse                  
netcdf-cxx4                         anvil, darwin, expanse   
netcdf-fortran                      anvil, darwin, aces, faster, delta, expanse
netcdf4-python                      aces, faster             
netlib-lapack                       anvil, delta, expanse    
netlib-scalapack                    delta, expanse           
nettle                              aces, faster             
networkx                            aces, faster             
neuron                              expanse                  
neusomatic                          anvil                    
newick_utils                        faster                   
nextalign                           anvil                    
nextclade                           anvil                    
nextdenovo                          anvil, faster            
nextflow                            anvil, bridges2, faster  
nextpolish                          anvil, faster            
nf-core                             anvil                    
nghttp2                             aces, faster             
nghttp3                             aces, faster             
ngs                                 faster                   
ngs-bits                            anvil                    
ngsadmix                            faster                   
ngsld                               anvil                    
ngsutils                            anvil                    
ngtcp2                              aces, faster             
nibabel                             aces                     
ninja                               darwin, aces, faster, expanse, ookami
nlohmann_json                       aces, faster             
nlopt                               aces, faster             
nltk                                faster                   
nmad                                aces                     
node                                delta                    
nodejs                              aces, faster             
nompi                               ookami                   
nostack                             expanse                  
nosve                               ookami                   
notebook                            ookami                   
nspr                                aces, faster             
nss                                 aces, faster             
nsync                               aces, faster             
ntl                                 darwin                   
nuitka                              faster                   
null                                ookami                   
numactl                             anvil, kyric, aces, faster, expanse
numba                               aces, faster             
numexpr                             faster                   
numpy                               bridges2, aces           
nv-codec-headers                    faster                   
nvbio                               faster                   
nvcomp                              faster                   
nvhpc                               bridges2, aces, faster, delta, expanse, ookami
nvhpc_latest                        delta                    
nvidia                              ookami                   
nvidia-container-cli                aces, faster             
nvidia-hpc-sdk                      darwin                   
nvshmem                             aces, faster             
nvtop                               aces, faster, delta      
nwchem                              anvil, bridges2, delta, expanse, stampede3
obitools3                           faster                   
oclfpga                             kyric                    
octave                              anvil, bridges2, faster, expanse, ookami
odgi                                anvil                    
ogdf                                faster                   
ohpc                                kyric                    
omb                                 kyric                    
oneapi                              faster, ookami           
onnx                                aces, faster             
onnx-runtime                        aces, faster             
opari2                              aces                     
open-data-cube-core                 faster                   
openacc                             ookami                   
openai-gym                          faster                   
openbabel                           aces, faster, expanse    
openblas                            anvil, bridges2, darwin, kyric, aces, faster, delta, expanse, ookami
opencensus-python                   faster                   
opencv                              bridges2, darwin, aces, faster, delta
openexr                             aces, faster             
openfoam                            anvil, bridges2, aces, faster, expanse, ookami
openfold                            aces, faster             
openimageio                         aces                     
openjdk                             anvil, kyric, delta, expanse
openjpeg                            aces, faster             
openldap                            ookami                   
openmm                              aces, faster             
openmpi                             anvil, bridges2, darwin, kyric, kyric, aces, faster, delta, expanse, ookami
openmpi+cuda                        delta                    
openmpi-5.0_beta                    delta                    
openmpi4                            kyric                    
openmx                              faster                   
openpgm                             aces, faster             
openpmix                            ookami                   
openscenegraph                      aces                     
opensees                            stampede3                
openssh                             kyric                    
openssl                             kyric, aces, faster, ookami
opensubdiv                          aces                     
opensycl                            ookami                   
optix                               faster                   
optuna                              aces, faster             
orca                                bridges2, faster, expanse
orthofinder                         anvil                    
os                                  kyric                    
osi                                 faster                   
osu-micro-benchmarks                aces, faster, delta, expanse
otf2                                aces                     
p11-kit                             aces, faster             
p4est                               stampede3                
p7zip                               expanse                  
padicotm                            aces                     
paml                                anvil, faster            
panacota                            anvil                    
panaroo                             anvil                    
pandas                              faster                   
pandaseq                            anvil                    
pandora                             anvil                    
pango                               aces, faster             
pangolin                            anvil                    
pangraph                            anvil                    
panphlan                            anvil                    
papi                                anvil, darwin, kyric, aces, faster, delta, expanse, ookami, stampede3
parabricks                          anvil, aces, faster      
parafly                             anvil                    
parafold                            aces                     
parallel                            anvil, faster, delta, expanse, ookami
parallel-fastq-dump                 anvil                    
parallel-netcdf                     anvil, bridges2, delta, expanse, stampede3
parallelfold                        faster                   
parasail                            faster                   
paraview                            anvil, darwin, aces, faster, delta, expanse
parliament2                         anvil                    
parmetis                            aces, faster, delta, expanse, stampede3
parpack                             stampede3                
parsnp                              anvil                    
pasapipeline                        anvil                    
pasta                               anvil                    
patchelf                            aces, faster, ookami     
pax                                 ookami                   
pblat                               anvil                    
pbmm2                               anvil                    
pbptyper                            anvil                    
pcangsd                             anvil, faster            
pciutils                            expanse                  
pcre                                aces, faster             
pcre2                               kyric, aces, faster, stampede3
pdal                                aces, faster             
pdt                                 darwin, aces             
pdtoolkit                           kyric                    
peakranger                          anvil                    
pepper_deepvariant                  anvil                    
perftools                           delta                    
perftools-base                      delta                    
perftools-lite                      delta                    
perftools-lite-events               delta                    
perftools-lite-gpu                  delta                    
perftools-lite-hbm                  delta                    
perftools-lite-loops                delta                    
perftools-preload                   delta                    
perl                                kyric, aces, faster, expanse
perl-bioperl                        anvil, expanse           
perl-bundle-cpan                    aces, faster             
perl-bundle1-cpan                   aces, faster             
perl-bundle2-cpan                   aces                     
petsc                               anvil, aces, faster, delta, expanse, ookami, stampede3
pftoolsv3                           faster                   
pggb                                anvil                    
pgi                                 darwin, expanse          
phast                               anvil                    
phd2fasta                           anvil                    
phdf5                               bridges2, stampede3      
phg                                 anvil                    
phipack                             anvil                    
php                                 faster                   
phrap                               anvil                    
phred                               anvil                    
phylip-suite                        bridges2                 
phylofisher                         anvil                    
phylosuite                          anvil                    
phyml                               faster                   
physics-tenpy                       aces, faster             
picard                              anvil, bridges2, faster, expanse
picrust2                            anvil                    
pigz                                aces, faster, expanse    
pillow                              aces, faster             
pillow-simd                         aces, faster             
pilon                               anvil, bridges2, faster  
pindel                              anvil                    
pioman                              aces                     
pirate                              anvil                    
piscem                              anvil                    
pixman                              aces, faster             
pixy                                anvil                    
pkg-config                          aces, faster             
pkgconf                             kyric, aces, faster      
pkgconfig                           aces, faster             
plasmidfinder                       anvil                    
platon                              anvil                    
platypus                            anvil, faster            
plink                               anvil, faster, expanse   
plink2                              anvil                    
plotly.py                           aces, faster             
plotsr                              anvil                    
plumed                              bridges2, aces, faster, expanse
ply                                 faster                   
pmi                                 faster                   
pmix                                darwin, kyric, aces, faster
pnetcdf                             darwin, aces, faster, stampede3
pocl                                aces, faster             
poetry                              aces, faster             
pomoxis                             anvil                    
poppler                             aces, faster             
poppunk                             anvil                    
popscle                             anvil                    
popt                                kyric, faster            
porechop                            bridges2                 
posix2ime                           delta                    
postgresql                          aces, faster             
pov-ray                             aces, faster             
pplacer                             anvil                    
prank                               aces, faster             
pre                                 ookami                   
prgenv-cray                         delta                    
prgenv-gnu                          delta                    
prgenv-nvhpc                        delta                    
prgenv-nvidia                       delta                    
prinseq                             anvil                    
probtorch                           faster                   
prodigal                            anvil, bridges2          
proj                                anvil, darwin, aces, faster, delta, ookami
prokka                              anvil, bridges2          
proteinortho                        anvil                    
prothint                            anvil                    
protobuf                            anvil, aces, faster      
protobuf-python                     aces, faster             
prrte                               aces                     
prun                                kyric                    
psc.allocations.user                bridges2                 
pscom                               faster                   
psycopg2                            aces, faster             
ptex                                aces                     
pugixml                             aces, faster             
puk                                 aces                     
pukabi                              aces                     
pullseq                             anvil                    
purge_dups                          anvil                    
pv                                  faster                   
pvactools                           anvil                    
pwanalyzer                          ookami                   
py-ase                              expanse                  
py-cached-property                  expanse                  
py-cftime                           expanse                  
py-cpuinfo                          aces                     
py-cutadapt                         expanse                  
py-cycler                           expanse                  
py-cython                           kyric, expanse           
py-dask                             expanse                  
py-dendropy                         expanse                  
py-et-xmlfile                       expanse                  
py-gsd                              expanse                  
py-h5py                             expanse                  
py-htseq                            expanse                  
py-jdcal                            expanse                  
py-jupyter-core                     expanse                  
py-jupyterlab                       expanse                  
py-kiwisolver                       expanse                  
py-matplotlib                       expanse                  
py-mpi4py                           anvil, expanse           
py-netcdf4                          expanse                  
py-numba                            expanse                  
py-numexpr                          expanse                  
py-numpy                            expanse                  
py-openpyxl                         expanse                  
py-pandas                           expanse                  
py-petsc4py                         expanse                  
py-phonopy                          expanse                  
py-pillow-simd                      expanse                  
py-pip                              expanse                  
py-pybind11                         expanse                  
py-pycuda                           expanse                  
py-pyparsing                        expanse                  
py-pysam                            expanse                  
py-pyscf                            expanse                  
py-python-dateutil                  expanse                  
py-pytz                             expanse                  
py-pyyaml                           expanse                  
py-scikit-learn                     expanse                  
py-scikit-optimize                  expanse                  
py-scipy                            expanse                  
py-seaborn                          expanse                  
py-setuptools                       kyric, expanse           
py-setuptools-scm                   expanse                  
py-six                              expanse                  
py-slepc4py                         expanse                  
py-statsmodels                      expanse                  
py-sympy                            expanse                  
py-tables                           expanse                  
py-virtualenv                       expanse                  
py-xlrd                             expanse                  
py3dmol                             aces                     
pyani                               anvil                    
pybedtools                          anvil                    
pybigwig                            anvil, faster            
pybind11                            aces, faster             
pycairo                             aces, faster             
pycharm                             faster                   
pychopper                           anvil                    
pycoqc                              anvil                    
pycuda                              aces, faster             
pydantic                            aces, faster             
pydicom                             aces                     
pyensembl                           anvil                    
pyfaidx                             anvil, faster            
pyfr                                aces                     
pygenometracks                      anvil                    
pygenomeviz                         anvil                    
pygobject                           aces, faster             
pylauncher                          stampede3                
pymc3                               faster                   
pyomo                               faster                   
pyopencl                            faster                   
pyopengl                            aces, faster             
pyproj                              aces, faster             
pypy                                faster, ookami           
pyqt5                               aces, faster             
pyranges                            anvil                    
pyro-api                            faster                   
pyro-ppl                            faster                   
pysam                               anvil, aces, faster      
pyspoa                              faster                   
pystan                              faster                   
pytensor                            aces                     
pytesseract                         aces                     
pytest                              aces, faster             
pytest-flakefinder                  aces, faster             
pytest-rerunfailures                aces, faster             
pytest-shard                        aces, faster             
pytest-xdist                        aces, faster             
pythia                              aces                     
python                              anvil, bridges2, darwin, kyric, kyric, aces, faster, delta, expanse, ookami, stampede3
python-bundle-pypi                  aces, faster             
python-isal                         aces, faster             
python-parasail                     faster                   
python_cacher                       stampede3                
pytorch                             aces, faster, ookami     
pytorch-geometric                   aces, faster             
pytorch-lightning                   aces, faster             
pytorch3d                           faster                   
pyvcf3                              anvil                    
pyyaml                              aces, faster             
pyzmq                               aces                     
qca                                 aces, faster             
qcat                                faster                   
qchem                               faster, expanse, stampede3
qd                                  ookami                   
qe                                  stampede3                
qemu                                anvil                    
qgis                                aces, faster             
qhull                               aces, faster, expanse    
qiime2                              anvil, aces, faster      
qjson                               aces                     
qrupdate                            faster, expanse          
qscintilla                          aces, faster             
qt                                  anvil, expanse           
qt5                                 aces, faster             
qt5webkit                           aces, faster             
qtkeychain                          aces, faster             
qtlseq                              anvil                    
qualimap                            anvil                    
quantum                             ookami                   
quantum-espresso                    anvil, expanse           
quantum_espresso                    anvil                    
quantumespresso                     bridges2, aces, faster, ookami
quast                               anvil                    
quickmirseq                         anvil                    
qwt                                 aces, faster             
r                                   anvil, darwin, kyric, aces, faster, delta, expanse, ookami, jetstream
r-acepack                           expanse                  
r-affy                              expanse                  
r-affyio                            expanse                  
r-annotate                          expanse                  
r-annotationdbi                     expanse                  
r-askpass                           expanse                  
r-assertthat                        expanse                  
r-backports                         expanse                  
r-base64                            expanse                  
r-base64enc                         expanse                  
r-beanplot                          expanse                  
r-bh                                expanse                  
r-bibtex                            expanse                  
r-biobase                           expanse                  
r-bioc                              darwin                   
r-biocgenerics                      expanse                  
r-biocmanager                       expanse                  
r-biocparallel                      expanse                  
r-biomart                           expanse                  
r-biostrings                        expanse                  
r-bit                               expanse                  
r-bit64                             expanse                  
r-bitops                            expanse                  
r-blob                              expanse                  
r-bumphunter                        expanse                  
r-bundle-bioconductor               faster                   
r-cellchat                          anvil                    
r-checkmate                         expanse                  
r-cli                               expanse                  
r-clipr                             expanse                  
r-cluster                           expanse                  
r-codetools                         expanse                  
r-colorspace                        expanse                  
r-cran                              darwin                   
r-crayon                            expanse                  
r-curl                              expanse                  
r-data-table                        expanse                  
r-dbi                               expanse                  
r-delayedarray                      expanse                  
r-delayedmatrixstats                expanse                  
r-deseq2                            expanse                  
r-digest                            expanse                  
r-doparallel                        expanse                  
r-dorng                             expanse                  
r-dplyr                             expanse                  
r-ellipsis                          expanse                  
r-evaluate                          expanse                  
r-fansi                             expanse                  
r-fdb-infiniummethylation-hg19      expanse                  
r-foreach                           expanse                  
r-foreign                           expanse                  
r-formatr                           expanse                  
r-formula                           expanse                  
r-futile-logger                     expanse                  
r-futile-options                    expanse                  
r-genefilter                        expanse                  
r-geneplotter                       expanse                  
r-genomeinfodb                      expanse                  
r-genomeinfodbdata                  expanse                  
r-genomicalignments                 expanse                  
r-genomicfeatures                   expanse                  
r-genomicranges                     expanse                  
r-geoquery                          expanse                  
r-ggplot2                           expanse                  
r-glue                              expanse                  
r-gridbase                          expanse                  
r-gridextra                         expanse                  
r-gtable                            expanse                  
r-hdf5array                         expanse                  
r-highr                             expanse                  
r-hmisc                             expanse                  
r-hms                               expanse                  
r-htmltable                         expanse                  
r-htmltools                         expanse                  
r-htmlwidgets                       expanse                  
r-httpuv                            expanse                  
r-httr                              expanse                  
r-illuminaio                        expanse                  
r-iranges                           expanse                  
r-iterators                         expanse                  
r-jpeg                              expanse                  
r-jsonlite                          expanse                  
r-kernsmooth                        expanse                  
r-knitr                             expanse                  
r-labeling                          expanse                  
r-lambda-r                          expanse                  
r-later                             expanse                  
r-lattice                           expanse                  
r-latticeextra                      expanse                  
r-lazyeval                          expanse                  
r-limma                             expanse                  
r-locfit                            expanse                  
r-lumi                              expanse                  
r-magrittr                          expanse                  
r-maptools                          expanse                  
r-markdown                          expanse                  
r-mass                              expanse                  
r-matrix                            expanse                  
r-matrixstats                       expanse                  
r-mclust                            expanse                  
r-memoise                           expanse                  
r-methylumi                         expanse                  
r-mgcv                              expanse                  
r-mime                              expanse                  
r-minfi                             expanse                  
r-misc3d                            expanse                  
r-multtest                          expanse                  
r-munsell                           expanse                  
r-nleqslv                           expanse                  
r-nlme                              expanse                  
r-nmf                               expanse                  
r-nnet                              expanse                  
r-nor1mix                           expanse                  
r-openssl                           expanse                  
r-org-hs-eg-db                      expanse                  
r-pillar                            expanse                  
r-pkgconfig                         expanse                  
r-pkgmaker                          expanse                  
r-plogr                             expanse                  
r-plyr                              expanse                  
r-png                               expanse                  
r-preprocesscore                    expanse                  
r-prettyunits                       expanse                  
r-progress                          expanse                  
r-promises                          expanse                  
r-purrr                             expanse                  
r-quadprog                          expanse                  
r-r6                                expanse                  
r-rcolorbrewer                      expanse                  
r-rcpp                              expanse                  
r-rcpparmadillo                     expanse                  
r-rcurl                             expanse                  
r-readr                             expanse                  
r-registry                          expanse                  
r-reshape                           expanse                  
r-reshape2                          expanse                  
r-rhdf5                             expanse                  
r-rhdf5lib                          expanse                  
r-rhtslib                           expanse                  
r-rlang                             expanse                  
r-rnaseq                            anvil                    
r-rngtools                          expanse                  
r-rpart                             expanse                  
r-rsamtools                         expanse                  
r-rsqlite                           expanse                  
r-rstudio                           anvil                    
r-rstudioapi                        expanse                  
r-rtracklayer                       expanse                  
r-s4vectors                         expanse                  
r-scales                            expanse                  
r-scrime                            expanse                  
r-scrnaseq                          anvil                    
r-shiny                             expanse                  
r-siggenes                          expanse                  
r-snow                              expanse                  
r-sourcetools                       expanse                  
r-sp                                expanse                  
r-stringi                           expanse                  
r-stringr                           expanse                  
r-studio                            jetstream                
r-studio-server                     darwin                   
r-summarizedexperiment              expanse                  
r-survival                          expanse                  
r-sys                               expanse                  
r-tibble                            expanse                  
r-tidyr                             expanse                  
r-tidyselect                        expanse                  
r-txdb-hsapiens-ucsc-hg19-knowngene expanse                  
r-utf8                              expanse                  
r-vctrs                             expanse                  
r-viridis                           expanse                  
r-viridislite                       expanse                  
r-withr                             expanse                  
r-xfun                              expanse                  
r-xml                               expanse                  
r-xml2                              expanse                  
r-xtable                            expanse                  
r-xvector                           expanse                  
r-yaml                              expanse                  
r-zeallot                           expanse                  
r-zlibbioc                          expanse                  
r_flexiblas                         delta                    
r_tamu                              aces, faster             
racon                               anvil, faster            
ragel                               faster                   
ragout                              anvil                    
ragtag                              anvil                    
randfold                            expanse                  
rapidjson                           aces, faster             
rapids                              aces                     
rapmap                              anvil                    
rasterio                            faster                   
rasusa                              anvil                    
raven-assembler                     anvil                    
raxml                               anvil, bridges2, faster, expanse
raxml-ng                            anvil, faster, expanse   
ray-project                         aces, faster             
rclone                              bridges2, darwin, faster, expanse, ookami
rdflib                              aces, faster             
rdkit                               aces                     
re2                                 aces, faster             
re2c                                aces, faster             
readline                            kyric, delta, expanse, ookami
reapr                               anvil                    
rebaler                             anvil                    
reciprocal_smallest_distance        anvil                    
recycler                            anvil                    
redis                               aces, faster             
redis-py                            aces, faster             
reframe                             aces                     
regtools                            anvil                    
relion                              expanse                  
remora                              stampede3                
repeatmasker                        anvil                    
repeatmodeler                       anvil                    
repeatscout                         anvil                    
resfinder                           anvil                    
revbayes                            anvil, faster            
rich                                bridges2                 
rioxarray                           faster                   
rising                              aces                     
rlwrap                              faster                   
rmats                               anvil                    
rmats2sashimiplot                   anvil                    
rnaindel                            anvil                    
rnalysis                            faster                   
rnapeg                              anvil                    
rnaquast                            anvil                    
rnaview                             bridges2                 
roary                               anvil, faster            
rocm-cmake                          faster                   
rocm-compilersupport                faster                   
rocm-smi                            faster                   
rocr-runtime                        faster                   
roct-thunk-interface                faster                   
root                                aces, faster             
rsem                                anvil, faster            
rseqc                               anvil                    
rstudio                             anvil, expanse, ookami   
ruamel.yaml                         faster                   
ruby                                aces, faster             
run_dbcan                           anvil                    
rush                                anvil                    
rust                                darwin, aces, faster, delta, ookami
sage                                anvil                    
salmon                              anvil, faster, expanse   
sambamba                            anvil, faster            
samblaster                          anvil, faster, expanse   
samclip                             anvil                    
samplot                             anvil                    
samtools                            anvil, bridges2, aces, faster, expanse
sanitizers4hpc                      delta                    
sanitytool                          stampede3                
scafacos                            aces, faster             
scalapack                           bridges2, darwin, aces, faster, ookami
scalasca                            kyric, aces, ookami      
scanpy                              anvil                    
scarches                            anvil                    
scgen                               anvil                    
schrodinger                         faster                   
scikit-bio                          faster                   
scikit-build                        aces, faster             
scikit-cuda                         aces                     
scikit-fda                          faster                   
scikit-image                        aces, faster             
scikit-learn                        aces, faster             
scipy                               faster                   
scipy-bundle                        aces, faster             
scipy_tamu                          faster                   
scirpy                              anvil                    
scnic                               faster                   
scons                               darwin, aces, faster     
score-p                             aces                     
scorep                              kyric                    
scotch                              aces, faster, expanse    
scvelo                              anvil                    
scvi-tools                          anvil                    
sdl                                 aces, faster             
sdl2                                aces, faster             
sdsc                                expanse                  
seaborn                             faster                   
seaview                             faster                   
segalign                            anvil                    
segmentation-models                 faster                   
seidr                               anvil                    
sentencepiece                       aces                     
sepp                                anvil, faster            
seqcode                             anvil                    
seqkit                              anvil                    
seqyclean                           anvil                    
serf                                aces, faster             
settarg                             bridges2, aces, faster, delta, stampede3
setuptools                          aces                     
setuptools-rust                     aces, faster             
shadow                              kyric                    
shap                                aces                     
shapeit4                            anvil                    
shapeit5                            anvil                    
shapely                             aces, faster             
shared                              expanse, ookami          
shasta                              anvil                    
shigeifinder                        anvil                    
shorah                              anvil                    
shortstack                          anvil                    
shovill                             anvil                    
sicer                               anvil                    
sicer2                              anvil                    
siesta                              expanse, ookami          
signalp4                            anvil                    
signalp6                            anvil                    
simug                               anvil                    
singlem                             anvil                    
singularity                         darwin, kyric, ookami, jetstream
singularitypro                      expanse                  
sionlib                             kyric, aces              
sip                                 faster                   
ska                                 anvil                    
skewer                              anvil                    
sklearn                             ookami                   
slamdunk                            anvil                    
slepc                               aces, faster, expanse    
slurm                               expanse, ookami          
slurm-env                           delta                    
